clean_text,label
real time modern manila blue bill monroe meet muddy water orient globalization strange thing people day life manila philippine based business consultant proving really talk muddy walter bluegrass work page,2
best asian tourism destination new apmf survey best asian tourism destination kicked crowded top chiang mai thailand leading perennial favourite hong kong bangkok phuket thailand bali indonesia one first vote let u know reason,2
best city business asia one new category apmf sense place survey best asian business city couple day singapore lead pack followed bangkok thailand hong kong enter vote comment make view count new category include best city livability best tourism destination,2
alligator tale grew new york giant alligator sometimes ornately described albino alligator rumored roam city sewer system according legend vacationer picked tiny crocodilian florida brought home new york eventually flushed little bugger grew big local concrete jungle,2
myth project fail project fail point number giant consultancy ibm global service capgemini sapient feed bad experience encountered enterprise sapient company founded realization project successful say sapient cto ben gaucherin,2
bea grab ca exec head product group bea system inc hired computer associate international inc executive responsible ca unicenter line enterprise management software head bea product development group,2
autodesk tackle project collaboration autodesk week unwrapped updated version hosted project collaboration service targeted construction manufacturing industry autodesk buzzsaw let multiple dispersed project participant including building owner developer architect construction team facility manager share manage data throughout life project according autodesk official,2
u k nh tap gartner help plan b overhaul london u k national health service nh tapped researcher gartner inc provide market intelligence service health organization forge ahead mammoth billion billion project upgrade information technology infrastructure,2
play boy google ipo go anyway even though google two founder gave interview playboy magazine midst ipo filing sec allowed company offering go ahead boy filed interview sec corrected mistake,2
big boob playboy interview google co founder due current issue playboy may delay company ipo security regulation restrict executive say preparing sell stock first time,2
dutch firm beat apple punch music retailer netherlands beat apple launching download service europe latest market battleground also movie industry wrests agreement defunct company microsoft challenge photoshop hellip,2
hp buy synstar hewlett packard pay million british company also tivo go attract customer hellip sprint offer service guarantee business wireless subscriber hellip,2
personal operator verizon verizon plan offer service would act virtual switchboard operator letting customer stay touch time program would send phone call voicemail e mail wherever customer designate elisa batista,2
paid search growth may slow new internet advertising forecast show slowdown paid search listing next five year projection affect google prospect go public,2
fark sell france surrender blog hottest thing net messing traditional publishing principle one popular fark com allegedly selling link wave future daniel terdiman,2
madden espn football score different way reuters reuters absenteeism little high tuesday among guy office ea sport would like think madden nfl came day fan football simulation rabid enough take sick day play,3
group propose new high speed wireless format reuters reuters group technology company including texas instrument inc txn n stmicroelectronics stm pa broadcom corp brcm thursday said propose new wireless networking standard time speed current generation,3
aol sell cheap pc minority senior reuters reuters america online thursday said plan sell low priced pc targeting low income minority household agree sign year dialup internet service,3
company approve new high capacity disc format reuters reuters group consumer electronics maker said wednesday approved format new generation disc store five time data dvd cost enough put full season soprano one disc,3
missing june deal slow return software co reuters reuters mystery went wrong software industry late june sale stalled brand name company even close solved although third quarter nearly halfway,3
hacker crack apple streaming technology ap ap norwegian hacker famed developing dvd encryption cracking software apparently struck time breaking lock apple computer inc wireless music streaming technology,3
european download service go mobile reuters reuters ability download complete track directly cell phone network mobile phone becoming reality europe,3
open source apps developer sugarcrm release sugar sale techweb techweb news august,3
oracle sale data seen released reuters reuters oracle corp sale document detailing highly confidential information company receive discount oracle business software product size discount likely made public federal judge said friday,3
sun looking glass provides view pc world pc world developer get early code new operating system skin still crafted,3
apple open second japanese retail store month maccentral maccentral apple computer inc open second japanese retail store later month western japanese city osaka said thursday,3
charley force took expert surprise ap ap hurricane charley mph force took forecaster surprise showed shaky science still predict storm intensity even latest satellite radar technology,3
science politics collide election year ap ap scientist including nobel prize winner signed statement opposing bush administration use scientific advice election year seeing new development uneasy relationship science politics,3
building dedicated columbia astronaut ap ap former dormitory converted classroom pensacola naval air station dedicated friday two columbia astronaut among seven died shuttle disaster feb,3
russian cargo craft dock space station ap ap russian cargo ship docked international space station saturday bringing food water fuel item two man russian american crew space official said,3
bangkok canal losing urban sprawl ap ap along bank canal woman rowboat grill fish sell fresh banana family eat floating pavilion rocked gently wave passing boat,3
rex teen growth spurt scientist say reuters reuters tyrannosaurus rex grew incredibly fast teenaged growth spurt saw dinosaur expand bulk six time fearsome beast lived fast died young researcher said wednesday,3
gene blocker turn monkey workaholic study reuters reuters procrastinating monkey turned workaholic using gene treatment block key brain compound u researcher reported wednesday,3
dolphin born socialite reuters reuters people born life soul party seems dolphin,3
name well matt sexier paul reuters reuters shakespeare said rose name would smell sweet right,3
uk scientist allowed clone human embryo reuters reuters british scientist said wednesday received permission clone human embryo medical research believe first license granted europe,3
russian alien spaceship claim raise eyebrow skepticism space com space com expedition russian researcher claim found evidence alien spaceship something huge explosion siberia expert asteroid comet long said massive blast caused space rock,3
